Old Key,New Key,Value,Suggested Key,Suggested Key Value
layout.version,sidebar.footer.version,Version,sidebar.footer.version,Version(3)
layout.logo.link,info.how-to-create.tool.link,https://www.damap.org,info.how-to-create.tool.link,https://www.damap.org
layout.dataprotection.link,sidebar.footer.data-protection-declaration.link,#,sidebar.footer.data-protection-declaration.link,#(3)
layout.impressum.link,sidebar.footer.impressum.link,#,sidebar.footer.impressum.link,#(3)
layout.termsandconditions.link,sidebar.footer.terms-and-conditions.link,#,sidebar.footer.terms-and-conditions.link,#(3)
information.purpose.registration.mail,consent-popup.personalData.email,e-mail address,consent-popup.personalData.email,e-mail address(2)
dialog.export.cancel,export-dialog.button.cancel,Cancel,delete.dialog.button.cancel,Cancel(9)
dialog.delete.button,delete.dialog.button.delete,Delete,delete.dialog.button.delete,Delete(2)
dialog.delete.cancel,delete.dialog.button.cancel,Cancel,delete.dialog.button.cancel,Cancel(9)
admin.internal-storage-translations-no-selected,admin.internal-storage-translations-no-selected,Translations,admin.internalStorage.table.action.translation,Translations
admin.images.dialog.cancel,admin.images.dialog.cancel,Cancel,admin.banner.dialog.button.cancel,Cancel(9)
admin.images.dialog.delete,admin.images.dialog.delete,Delete,delete.dialog.button.delete,Delete(2)
admin.images.actions.delete,admin.images.actions.delete,Delete,admin.internalStorage.table.action.delete,Delete(2)
admin.table.header.url,admin.internalStorage.table.header.url,URL,admin.internalStorage.table.header.url,URL(3)
admin.table.header.storageLocation,admin.internalStorage.table.header.storageLocation,Storage Location,admin.internalStorage.table.header.storageLocation,Storage Location(3)
admin.table.header.backupLocation,admin.internalStorage.table.header.backupLocation,Backup Location,admin.internalStorage.table.header.backupLocation,Backup Location(3)
admin.table.header.action,admin.internalStorage.table.header.actions,Actions,admin.internalStorage.table.header.actions,Actions(2)
admin.table.header.languageCode,admin.internalStorage.translation.table.header.languageCode,Language Code,admin.internalStorage.translation.table.header.languageCode,Language Code(2)
admin.table.header.title,admin.internalStorage.table.header.title,Title,plans.table.header.title,Title(5)
admin.table.header.description,admin.internalStorage.table.header.description,Description,admin.internalStorage.table.header.description,Description(6)
admin.table.header.backupFrequency,admin.internalStorage.table.header.backupFrequency,Backup Frequency,admin.internalStorage.table.header.backupFrequency,Backup Frequency(3)
admin.table.action.delete,admin.internalStorage.table.action.delete,Delete,admin.internalStorage.table.action.delete,Delete(2)
admin.table.action.edit,admin.internalStorage.table.action.edit,Edit,plans.table.actions.edit,Edit(3)
admin.table.action.translation,admin.internalStorage.table.action.translation,Translations,admin.internalStorage.table.action.translation,Translations
admin.color-theme.buttons.save,admin.color-theme.buttons.save,Save,admin.appTranslations.save,Save(2)
admin.dialog.internal-storage.button.cancel,admin.dialog.internal-storage.button.cancel,Cancel,admin.internalStorage.translation.dialog.button.cancel,Cancel(9)
admin.dialog.internal-storage.button.add,admin.dialog.internal-storage.button.add,Add,admin.internalStorage.translation.dialog.button.add,Add(4)
admin.dialog.internal-storage.button.update,admin.dialog.internal-storage.button.update,Update,admin.internalStorage.translation.dialog.button.update,Update(3)
admin.dialog.internal-storage.captions.url,admin.internalStorage.dialog.field.url,URL,admin.internalStorage.dialog.field.url,URL(3)
admin.dialog.internal-storage.captions.storageLocation,admin.internalStorage.dialog.field.storageLocation,Storage Location,admin.internalStorage.dialog.field.storageLocation,Storage Location(3)
admin.dialog.internal-storage.captions.backupLocation,admin.internalStorage.dialog.field.backupLocation,Backup Location,admin.internalStorage.dialog.field.backupLocation,Backup Location(3)
admin.dialog.internal-storage-translation.button.cancel,admin.internalStorage.translation.dialog.button.cancel,Cancel,admin.internalStorage.translation.dialog.button.cancel,Cancel(9)
admin.dialog.internal-storage-translation.button.add,admin.internalStorage.translation.dialog.button.add,Add,admin.internalStorage.translation.dialog.button.add,Add(4)
admin.dialog.internal-storage-translation.button.update,admin.internalStorage.translation.dialog.button.update,Update,admin.internalStorage.translation.dialog.button.update,Update(3)
admin.dialog.internal-storage-translation.captions.title,admin.internalStorage.translation.dialog.field.title,Title,admin.internalStorage.translation.dialog.field.title,Title(5)
admin.dialog.internal-storage-translation.captions.description,admin.internalStorage.translation.dialog.field.description,Description,admin.internalStorage.translation.dialog.field.description,Description(6)
admin.dialog.internal-storage-translation.captions.languageCode,admin.internalStorage.translation.dialog.field.languageCode,Language Code,admin.internalStorage.translation.dialog.field.languageCode,Language Code(2)
admin.dialog.internal-storage-translation.captions.backupFrequency,admin.internalStorage.translation.dialog.field.backupFrequency,Backup Frequency,admin.internalStorage.translation.dialog.field.backupFrequency,Backup Frequency(3)
admin.dialog.banner.captions.title,admin.banner.dialog.field.title,Title,admin.banner.dialog.field.title,Title(5)
admin.dialog.banner.captions.description,admin.banner.dialog.field.description,Description,admin.banner.dialog.field.description,Description(6)
admin.dialog.banner.button.update,admin.banner.dialog.button.update,Edit,admin.banner.dialog.button.update,Edit(3)
admin.dialog.banner.button.add,admin.banner.dialog.button.add,Add,admin.banner.dialog.button.add,Add(4)
admin.dialog.banner.button.cancel,admin.banner.dialog.button.cancel,Cancel,admin.banner.dialog.button.cancel,Cancel(9)
admin.repositories.delete-dialog.name,admin.repositories.delete-dialog.name,Name,dmp.steps.costs.question.name,Name(2)
admin.repositories.delete-dialog.cancel,admin.repositories.delete-dialog.cancel,Cancel,dmp.steps.people.delete.dialog.button.cancel,Cancel(9)
admin.repositories.delete-dialog.confirm,admin.repositories.delete-dialog.confirm,Delete,admin.internalStorage.table.action.delete,Delete(2)
info.ethical.committeeReviewed.mail.link,dmp.steps.legal.info.committeeReviewed.mail.link",https://www.tuwien.at/forschung/fti-support/responsible-research-practices/research-ethics-committee,dmp.steps.legal.info.committeeReviewed.mail.link,https://www.tuwien.at/forschung/fti-support/responsible-research-practices/research-ethics-committee(2)
dashboard.tool.heading,COULD_NOT_BE_AUTO_REPLACE_[wrong_key_name(should_be:info.about.link)],About DAMAP,info.how-to-create.tool.heading,About DAMAP(2)
dashboard.tool.link,COULD_NOT_BE_AUTO_REPLACE_[wrong_key_name(should_be:info.about.link)],https://www.damap.org,info.how-to-create.tool.link,https://www.damap.org
